make,model,year,price,mileage,fuel_type,transmission,body_type,description,image_url,vehicle_id
Bmw,1 Series M,2011,46135,26,Premium Unleaded (Required),Manual,Coupe,Compact,,kaggle_0
Bmw,1 Series,2011,40650,28,Premium Unleaded (Required),Manual,Convertible,Compact,,kaggle_1
Bmw,1 Series,2011,36350,28,Premium Unleaded (Required),Manual,Coupe,Compact,,kaggle_2
Bmw,1 Series,2011,29450,28,Premium Unleaded (Required),Manual,Coupe,Compact,,kaggle_3
Bmw,1 Series,2011,34500,28,Premium Unleaded (Required),Manual,Convertible,Compact,,kaggle_4
Bmw,1 Series,2012,31200,28,Premium Unleaded (Required),Manual,Coupe,Compact,,kaggle_5
Bmw,1 Series,2012,44100,26,Premium Unleaded (Required),Manual,Convertible,Compact,,kaggle_6
Bmw,1 Series,2012,39300,28,Premium Unleaded (Required),Manual,Coupe,Compact,,kaggle_7
Bmw,1 Series,2012,36900,28,Premium Unleaded (Required),Manual,Convertible,Compact,,kaggle_8
Bmw,1 Series,2013,37200,27,Premium Unleaded (Required),Manual,Convertible,Compact,,kaggle_9
Bmw,1 Series,2013,39600,28,Premium Unleaded (Required),Manual,Coupe,Compact,,kaggle_10
Bmw,1 Series,2013,31500,28,Premium Unleaded (Required),Manual,Coupe,Compact,,kaggle_11
Bmw,1 Series,2013,44400,28,Premium Unleaded (Required),Manual,Convertible,Compact,,kaggle_12
Bmw,1 Series,2013,48250,25,Premium Unleaded (Required),Manual,Convertible,Compact,,kaggle_13
Bmw,1 Series,2013,43550,28,Premium Unleaded (Required),Manual,Coupe,Compact,,kaggle_14
Audi,100,1992,2000,24,Regular Unleaded,Manual,Sedan,Midsize,,kaggle_15
Audi,100,1993,2000,24,Regular Unleaded,Manual,Sedan,Midsize,,kaggle_16
Audi,100,1994,2000,21,Regular Unleaded,Automatic,Wagon,Midsize,,kaggle_17
Fiat,124 Spider,2017,27495,35,Premium Unleaded (Recommended),Manual,Convertible,Compact,,kaggle_18
Fiat,124 Spider,2017,24995,35,Premium Unleaded (Recommended),Manual,Convertible,Compact,,kaggle_19
Fiat,124 Spider,2017,28195,35,Premium Unleaded (Recommended),Manual,Convertible,Compact,,kaggle_20
Mercedes-Benz,190-Class,1991,2000,26,Regular Unleaded,Manual,Sedan,Compact,,kaggle_21
Mercedes-Benz,190-Class,1992,2000,25,Regular Unleaded,Manual,Sedan,Compact,,kaggle_22
Mercedes-Benz,190-Class,1993,2000,26,Regular Unleaded,Manual,Sedan,Compact,,kaggle_23
Bmw,2 Series,2016,32850,35,Premium Unleaded (Required),Automatic,Coupe,Compact,,kaggle_24
Bmw,2 Series,2016,38650,34,Premium Unleaded (Required),Automatic,Convertible,Compact,,kaggle_25
Bmw,2 Series,2016,48750,31,Premium Unleaded (Required),Automatic,Convertible,Compact,,kaggle_26
Bmw,2 Series,2016,34850,35,Premium Unleaded (Required),Automatic,Coupe,Compact,,kaggle_27
