model,make,year,price,mileage,fuel_type,transmission,body_type,condition,seat,color,features,description,image_url
Corolla,Toyota,2019,160000,90000,Gasoline,CVT,Sedan,foreign_used,5,Black,Bluetooth; Backup camera; Navigation,"2019 Toyota Corolla (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with bluetooth.",
Civic,Honda,2019,190000,75000,Gasoline,CVT,Sedan,foreign_used,5,White,Sunroof; Leather seats; Bluetooth,"2019 Honda Civic (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with sunroof.",
Camry,Toyota,2018,165000,110000,Gasoline,Automatic,Sedan,foreign_used,5,Silver,Leather seats; Navigation; Backup camera; Premium audio,"2018 Toyota Camry (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with leather seats.",
Accord,Honda,2017,179900,98000,Gasoline,CVT,Sedan,foreign_used,5,Gray,Sunroof; Leather seats; Bluetooth; Heated seats,"2017 Honda Accord (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with sunroof.",
Elantra,Hyundai,2017,145000,105000,Gasoline,Automatic,Sedan,foreign_used,5,Blue,Backup camera; Bluetooth,"2017 Hyundai Elantra (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with backup camera.",
Sonata,Hyundai,2018,155000,92000,Hybrid,Automatic,Sedan,foreign_used,5,White,Leather seats; Navigation; Heated seats; Backup camera,"2018 Hyundai Sonata (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with leather seats. A hybrid powertrain keeps running costs low for eco-conscious drivers.",
C-Class,Mercedes-Benz,2017,265000,88000,Gasoline,Automatic,Sedan,foreign_used,5,Black,Sunroof; Leather seats; Navigation; Premium audio,"2017 Mercedes-Benz C-Class (foreign used), a premium sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with sunroof. A solid pick for luxury lovers who want a standout badge on Ghanaian roads.",
Altima,Nissan,2019,150000,101000,Gasoline,CVT,Sedan,foreign_used,5,Red,Backup camera; Bluetooth; Navigation,"2019 Nissan Altima (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with backup camera.",
Passat,Volkswagen,2016,135000,125000,Diesel,Manual,Sedan,foreign_used,5,Silver,Leather seats; Navigation; Bluetooth,"2016 Volkswagen Passat (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with leather seats.",
Model 3,Tesla,2021,280000,55000,Electric,Automatic,Sedan,foreign_used,5,White,Navigation; Backup camera; Premium audio; Heated seats,"2021 Tesla Model 3 (foreign used), a premium sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with navigation. A electric powertrain keeps running costs low for eco-conscious drivers. A solid pick for luxury lovers who want a standout badge on Ghanaian roads.",
RAV4,Toyota,2019,310000,85000,Hybrid,Automatic,SUV,foreign_used,5,White,All wheel drive; Sunroof; Backup camera; Bluetooth,"2019 Toyota RAV4 (foreign used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with all wheel drive. A hybrid powertrain keeps running costs low for eco-conscious drivers.",
CR-V,Honda,2019,205000,72000,Gasoline,CVT,SUV,foreign_used,5,Gray,Sunroof; Leather seats; Backup camera; Navigation,"2019 Honda CR-V (foreign used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with sunroof.",
Tucson,Hyundai,2019,140000,90000,Gasoline,Automatic,SUV,foreign_used,5,Blue,Backup camera; Bluetooth; Heated seats,"2019 Hyundai Tucson (foreign used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with backup camera.",
Sportage,Kia,2018,260000,83000,Gasoline,Automatic,SUV,foreign_used,5,Black,Sunroof; Leather seats; Navigation,"2018 Kia Sportage (foreign used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with sunroof.",
X-Trail,Nissan,2018,170000,105000,Gasoline,CVT,SUV,foreign_used,5,Silver,All wheel drive; Backup camera; Bluetooth,"2018 Nissan X-Trail (foreign used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with all wheel drive.",
Outlander,Mitsubishi,2019,185000,98000,Gasoline,CVT,SUV,foreign_used,7,White,All wheel drive; Navigation; Backup camera,"2019 Mitsubishi Outlander (foreign used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with all wheel drive.",
Highlander,Toyota,2020,330000,70000,Gasoline,Automatic,SUV,foreign_used,7,Black,Leather seats; Sunroof; Premium audio; Backup camera,"2020 Toyota Highlander (foreign used), a premium suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with leather seats.",
CX-5,Mazda,2019,210000,78000,Gasoline,Automatic,SUV,foreign_used,5,Red,Sunroof; Leather seats; Premium audio,"2019 Mazda CX-5 (foreign used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with sunroof.",
G-Class,Mercedes-Benz,2018,850000,62000,Gasoline,Automatic,SUV,foreign_used,5,Black,All wheel drive; Leather seats; Navigation; Premium audio,"2018 Mercedes-Benz G-Class (foreign used), a premium suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with all wheel drive. A solid pick for luxury lovers who want a standout badge on Ghanaian roads.",
