make,model,image_url,license,artist,source_page
Toyota,Corolla,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/76/Toyota_Corolla_%28E180%29_sedan_facelift_1X7A0306.jpg/960px-Toyota_Corolla_%28E180%29_sedan_facelift_1X7A0306.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander Migl</a>",https://commons.wikimedia.org/wiki/File:Toyota_Corolla_(E180)_sedan_facelift_1X7A0306.jpg
Honda,Civic,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/96/Honda_Civic_Coupe_%28EM%29_Washington_DC_Metro_Area%2C_USA.jpg/960px-Honda_Civic_Coupe_%28EM%29_Washington_DC_Metro_Area%2C_USA.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,"<a href=""//commons.wikimedia.org/wiki/User:OWS_Photography"" title=""User:OWS Photography"">OWS Photography</a>","https://commons.wikimedia.org/wiki/File:Honda_Civic_Coupe_(EM)_Washington_DC_Metro_Area,_USA.jpg"
Toyota,Camry,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ef/2011-2014_Toyota_Camry_Hybrid_rear.jpg/960px-2011-2014_Toyota_Camry_Hybrid_rear.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC0,"<a href=""//commons.wikimedia.org/wiki/User:TTTNIS"" title=""User:TTTNIS"">TTTNIS</a>",https://commons.wikimedia.org/wiki/File:2011-2014_Toyota_Camry_Hybrid_rear.jpg
Honda,Accord,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7a/Honda_Accord_%282002%29_coupe_1X7A1502.jpg/960px-Honda_Accord_%282002%29_coupe_1X7A1502.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander Migl</a>",https://commons.wikimedia.org/wiki/File:Honda_Accord_(2002)_coupe_1X7A1502.jpg
Hyundai,Elantra,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f4/Hyundai_Elantra_%28AD%29_Motorworld_Munich_1X7A0069.jpg/960px-Hyundai_Elantra_%28AD%29_Motorworld_Munich_1X7A0069.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander-93</a>",https://commons.wikimedia.org/wiki/File:Hyundai_Elantra_(AD)_Motorworld_Munich_1X7A0069.jpg
Hyundai,Sonata,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/29/%D0%91%D0%B8%D1%88%D0%BA%D0%B5%D0%BA%2C_Hyundai_Sonata_%D0%BD%D0%B0_%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%D0%B0.jpg/960px-%D0%91%D0%B8%D1%88%D0%BA%D0%B5%D0%BA%2C_Hyundai_Sonata_%D0%BD%D0%B0_%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%D0%B0.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<bdi><a href=""https://www.wikidata.org/wiki/Q99741741"" class=""extiw"" title=""d:Q99741741""><span title=""Wikimedian"">Nikolai Bulykin</span></a></bdi>","https://commons.wikimedia.org/wiki/File:%D0%91%D0%B8%D1%88%D0%BA%D0%B5%D0%BA,_Hyundai_Sonata_%D0%BD%D0%B0_%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%D0%B0.jpg"
Mercedes-Benz,C-Class,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/58/Mercedes-Benz_C-Class_w204_amk.jpg/960px-Mercedes-Benz_C-Class_w204_amk.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:AngMoKio"" title=""User:AngMoKio"">AngMoKio</a>",https://commons.wikimedia.org/wiki/File:Mercedes-Benz_C-Class_w204_amk.jpg
Nissan,Altima,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/95/Nissan_Altima_%28L33%29_Facelift_%28rear%29.jpg/960px-Nissan_Altima_%28L33%29_Facelift_%28rear%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander Migl</a>",https://commons.wikimedia.org/wiki/File:Nissan_Altima_(L33)_Facelift_(rear).jpg
Volkswagen,Passat,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/03/Volkswagen_Passat_NMS_II_IMG_0007.jpg/960px-Volkswagen_Passat_NMS_II_IMG_0007.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander Migl</a>",https://commons.wikimedia.org/wiki/File:Volkswagen_Passat_NMS_II_IMG_0007.jpg
Tesla,Model 3,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/86/Tesla_Model_3_%282023%29_IMG_9488_%28cropped%29.jpg/960px-Tesla_Model_3_%282023%29_IMG_9488_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander-93</a>",https://commons.wikimedia.org/wiki/File:Tesla_Model_3_(2023)_IMG_9488_(cropped).jpg
