make,model,year,price,mileage,fuel_type,transmission,description,image_url,body_type,vehicle_id
Toyota,Passo,2021,4190000,54000,Petrol,Automatic,"it's 2021 model fresh import, perfect engine suspension,non accidented,push start ,fully loaded car,need to sell urgently.",https://images.olx.com.pk/thumbnails/403946098-800x600.jpeg,None,kaggle_0
Suzuki,Ravi,2018,1300000,95000,Petrol,Manual,Suzuki ravi 2018 col ,https://images.olx.com.pk/thumbnails/410250495-800x600.jpeg,None,kaggle_1
Suzuki,Bolan,2015,800000,50000,Petrol,Manual,Suzuki bolan model 2015 reg 2022 ghadi me koi Kam nai a,https://images.olx.com.pk/thumbnails/413952022-800x600.jpeg,None,kaggle_2
Daihatsu,Move,2013,2155000,94000,Petrol,Automatic,"Move Push start 
Home Used car. 
Model 2013. 
Registered in 2015. 
All origina documents with smart card. 
Total Geniune few touch ups. 
Never been into any major accident.",https://images.olx.com.pk/thumbnails/386533756-800x600.jpeg,None,kaggle_3
Suzuki,Swift,2011,1440000,126544,Petrol,Manual,"Suzuki Swift DLX
AbS Break 100%
engine 100%
suspension 100% 
Android panel
brand new tyer 
2/3 piece Touchups
all documents clear
cplc Clear 
no work required
contact no:0/3/3/2/3/0/9/6/0/7/1",https://images.olx.com.pk/thumbnails/414350956-800x600.jpeg,None,kaggle_4
Suzuki,Wagon R,2020,2830000,54000,Petrol,Automatic,wagon r total genuine AGS new tyre ,https://images.olx.com.pk/thumbnails/406508386-800x600.jpeg,None,kaggle_5
Daihatsu,Mira,2013,2150000,140000,Petrol,Automatic,bilkul okay condition me hen engine change hen recently change karvaya hen book pe update nhe ha ,https://images.olx.com.pk/thumbnails/411496140-800x600.jpeg,None,kaggle_6
Suzuki,Bolan,2016,1050000,32000,Petrol,Manual,SUZUKI BOLANSuzuki Bolan 2016 genuine condition low mileage,https://images.olx.com.pk/thumbnails/414172373-800x600.jpeg,None,kaggle_7
Honda,City Idsi,2004,1230000,160000,Petrol,Manual,"A very well maintained  - Good consumption
no mechanical work, Excellent condition 
complete ,Engine perfect orginal condition car. .  
just buy and drive daily driven smooth car  
original condition Registered In Personal Name   
Neat and clean interior - Each and every thing is mentioned     
only contact for serious buyers -
No silly offers good fuel average 
Very good Condition. 
10/10 condition ok    
Genuine Condition. Price slightly negotiable. 

-Honda City 2004 Model    
-MODEL: 2004 Registration : 2004
-MILAGE DRIVEN:  ",https://images.olx.com.pk/thumbnails/388639369-800x600.jpeg,None,kaggle_8
Suzuki,Cultus Vxr,2008,950000,75000,Petrol,Manual,Ander s hotel janvan Hain by Matrek avlebal Hain new tair new batre,https://images.olx.com.pk/thumbnails/414395543-800x600.jpeg,None,kaggle_9
Suzuki,Every,2018,1850000,101628,Petrol,Automatic,"Suzuki Every 
Model 2012 Import 2018
Fully Genion 
White Color , New Leather Seats and Music",https://images.olx.com.pk/thumbnails/414217894-800x600.jpeg,None,kaggle_10
